program,defined_macros,macros_defined_at_valid_src_locs,macros_defined_at_valid_src_locs_with_only_top_level_non_argument_invocations,macros_defined_at_valid_src_locs_with_nested_invocations,src_invocations_at_unique_locations,src_invocations_at_unique_valid_locations,src_invocations_at_unique_invalid_locations,nested_argument_src_invocations,nested_non_argument_src_invocations,top_level_argument_src_invocations,top_level_non_argument_src_invocations,top_level_non_argument_src_invocations_with_semantic_data,interface_equivalent_src_definitions,top_level_non_argument_interface_equivalent_src_invocations,mennie_definitions,mennie_invocations,x_more_easy_to_transform_macros_we_find_than_mennie,src_definitions_with_only_argument_altering_invocations,src_definitions_with_any_argument_altering_invocations,top_level_non_argument_src_invocations_that_are_only_argument_altering,top_level_non_argument_src_invocations_that_are_at_least_argument_altering,src_definitions_with_only_declaration_altering_invocations,src_definitions_with_any_declaration_altering_invocations,top_level_non_argument_src_invocations_that_are_only_declaration_altering,top_level_non_argument_src_invocations_that_are_at_least_declaration_altering,src_definitions_with_only_call_site_context_altering_invocations,src_definitions_with_any_call_site_context_altering_invocations,top_level_non_argument_src_invocations_that_are_only_call_site_context_altering,top_level_non_argument_src_invocations_that_are_at_least_call_site_context_altering,src_definitions_with_only_thunkizing_invocations,src_definitions_with_any_thunkizing_invocations,top_level_non_argument_src_invocations_that_are_only_thunkizing,top_level_non_argument_src_invocations_that_are_at_least_thunkizing,src_definitions_with_only_metaprogramming_invocations,src_definitions_with_any_metaprogramming_invocations,top_level_non_argument_src_invocations_that_are_only_metaprogramming,top_level_non_argument_src_invocations_that_are_at_least_metaprogramming,src_definitions_that_are_easy_to_transform,top_level_non_argument_src_invocations_that_are_easy_to_transform,macros_defined_at_valid_src_locs_with_multiple_easy_transformations,src_definitions_that_are_hard_to_transform,top_level_non_argument_src_invocations_that_are_hard_to_transform,macros_defined_at_valid_src_locs_with_multiple_hard_transformations,avg_top_level_non_argument_src_invocations_per_easy_to_transform_definition,avg_top_level_non_argument_src_invocations_per_hard_to_transform_definition,src_definitions_with_only_decl_invocations,top_level_non_argument_decl_invocations,src_definitions_with_only_stmt_invocations,top_level_non_argument_stmt_invocations,src_definitions_with_only_expr_invocations,top_level_non_argument_expr_invocations,src_definitions_with_only_type_loc_invocations,top_level_non_argument_type_loc_invocations,top_level_non_argument_unaligned_invocations,src_definitions_with_mixed_syntax_invocations,src_definitions_with_invocations_that_only_satisfy_syntactic_properties,src_definitions_with_any_invocation_that_satisfies_syntactic_properties,top_level_non_argument_src_invocations_that_only_satisfy_syntactic_properties,top_level_non_argument_src_invocations_that_at_least_satisfy_syntactic_properties,src_definitions_with_invocations_that_only_satisfy_scoping_properties,src_definitions_with_any_invocation_that_satisfies_scoping_properties,top_level_non_argument_src_invocations_that_only_satisfy_scoping_properties,top_level_non_argument_src_invocations_that_at_least_satisfy_scoping_properties,src_definitions_with_invocations_that_only_satisfy_typing_properties,src_definitions_with_any_invocation_that_satisfies_typing_properties,top_level_non_argument_src_invocations_that_only_satisfy_typing_properties,top_level_non_argument_src_invocations_that_at_least_satisfy_typing_properties,src_definitions_with_invocations_that_only_satisfy_calling_convention_properties,src_definitions_with_any_invocation_that_satisfies_calling_convention_properties,top_level_non_argument_src_invocations_that_only_satisfy_calling_convention_properties,top_level_non_argument_src_invocations_that_at_least_satisfy_calling_convention_properties,src_definitions_with_invocations_that_only_satisfy_language_specific_properties,src_definitions_with_any_invocation_that_satisfies_language_specific_properties,top_level_non_argument_src_invocations_that_only_satisfy_language_specific_properties,top_level_non_argument_src_invocations_that_at_least_satisfy_language_specific_properties,src_definitions_with_invocations_that_satisfy_no_properties,src_definitions_with_any_invocation_that_satisfies_no_properties,top_level_non_argument_src_invocations_that_satisfy_no_properties
gv,1572 (202.84%),775,526 (67.87%),249 (32.13%),6409 (100.25%),6393,16 (0.25%),5 (0.08%),113 (1.77%),364 (5.69%),4555 (71.25%),1580 (24.71%),182 (23.48%),705 (11.03%),100 (12.9%),356 (5.57%),2.85,5 (0.65%),98 (12.65%),12 (0.19%),506 (7.91%),12 (1.55%),116 (14.97%),43 (0.67%),553 (8.65%),89 (11.48%),110 (14.19%),2887 (45.16%),3065 (47.94%),0 (0.0%),1 (0.13%),0 (0.0%),1 (0.02%),0 (0.0%),6 (0.77%),0 (0.0%),128 (2.0%),285 (36.77%),1210 (18.93%),86 (11.1%),241 (31.1%),3345 (52.32%),152 (19.61%),4.06 (0.52%),14.1 (1.82%),1 (0.13%),42 (0.66%),21 (2.71%),98 (1.53%),415 (53.55%),1504 (23.53%),1 (0.13%),4 (0.06%),4263 (66.68%),7 (0.9%),85 (10.97%),95 (12.26%),2850 (44.58%),2969 (46.44%),101 (13.03%),108 (13.94%),523 (8.18%),538 (8.42%),0 (0.0%),1 (0.13%),0 (0.0%),1 (0.02%),8 (1.03%),10 (1.29%),48 (0.75%),53 (0.83%),0 (0.0%),6 (0.77%),0 (0.0%),128 (2.0%),317 (40.9%),321 (41.42%),1000 (15.64%)
gzip,1146 (226.93%),505,339 (67.13%),166 (32.87%),3288 (100.0%),3288,0 (0.0%),36 (1.09%),197 (5.99%),199 (6.05%),2345 (71.32%),1508 (45.86%),77 (15.25%),212 (6.45%),58 (11.49%),128 (3.89%),1.97,2 (0.4%),17 (3.37%),20 (0.61%),72 (2.19%),30 (5.94%),48 (9.5%),101 (3.07%),159 (4.84%),138 (27.33%),171 (33.86%),700 (21.29%),847 (25.76%),0 (0.0%),4 (0.79%),4 (0.12%),5 (0.15%),0 (0.0%),21 (4.16%),0 (0.0%),138 (4.2%),114 (22.57%),380 (11.56%),5 (0.99%),225 (44.55%),1965 (59.76%),87 (17.23%),3.12 (0.62%),8.84 (1.75%),41 (8.12%),1052 (32.0%),18 (3.56%),117 (3.56%),124 (24.55%),378 (11.5%),7 (1.39%),20 (0.61%),1289 (39.2%),7 (1.39%),138 (27.33%),165 (32.67%),700 (21.29%),837 (25.46%),14 (2.77%),34 (6.73%),123 (3.74%),157 (4.77%),1 (0.2%),11 (2.18%),3 (0.09%),34 (1.03%),2 (0.4%),6 (1.19%),4 (0.12%),9 (0.27%),0 (0.0%),21 (4.16%),0 (0.0%),138 (4.2%),135 (26.73%),158 (31.29%),1344 (40.88%)
linux,58483 (101.01%),57896,35169 (60.75%),22727 (39.25%),575548 (100.48%),572807,2741 (0.48%),12558 (2.19%),22815 (3.98%),105532 (18.42%),162996 (28.46%),95182 (16.62%),21297 (36.78%),58277 (10.17%),13054 (22.55%),29685 (5.18%),1.83,94 (0.16%),545 (0.94%),618 (0.11%),2754 (0.48%),2339 (4.04%),3457 (5.97%),14110 (2.46%),17365 (3.03%),6886 (11.89%),8521 (14.72%),43729 (7.63%),67274 (11.74%),3 (0.01%),48 (0.08%),15 (0.0%),156 (0.03%),13 (0.02%),1287 (2.22%),330 (0.06%),23650 (4.13%),23924 (41.32%),74913 (13.08%),194 (0.34%),11245 (19.42%),88083 (15.38%),4343 (7.5%),2.85 (0.0%),8.42 (0.01%),122 (0.21%),1011 (0.18%),947 (1.64%),12827 (2.24%),26514 (45.8%),93695 (16.36%),47 (0.08%),437 (0.08%),323932 (56.55%),251 (0.43%),6803 (11.75%),8289 (14.32%),42591 (7.44%),65346 (11.41%),518 (0.89%),1306 (2.26%),5498 (0.96%),8529 (1.49%),72 (0.12%),549 (0.95%),207 (0.04%),2689 (0.47%),107 (0.18%),230 (0.4%),607 (0.11%),1064 (0.19%),12 (0.02%),1287 (2.22%),389 (0.07%),23650 (4.13%),25452 (43.96%),25902 (44.74%),87913 (15.35%)
lua,1302 (136.48%),954,466 (48.85%),488 (51.15%),6697 (100.0%),6697,0 (0.0%),476 (7.11%),574 (8.57%),673 (10.05%),2220 (33.15%),1258 (18.78%),144 (15.09%),393 (5.87%),52 (5.45%),115 (1.72%),3.92,1 (0.1%),23 (2.41%),11 (0.16%),81 (1.21%),51 (5.35%),91 (9.54%),170 (2.54%),272 (4.06%),120 (12.58%),165 (17.3%),833 (12.44%),1027 (15.34%),0 (0.0%),19 (1.99%),0 (0.0%),80 (1.19%),2 (0.21%),6 (0.63%),2 (0.03%),97 (1.45%),204 (21.38%),605 (9.03%),8 (0.84%),262 (27.46%),1615 (24.12%),140 (14.68%),2.59 (0.27%),6.45 (0.68%),0 (0.0%),0 (0.0%),46 (4.82%),227 (3.39%),295 (30.92%),1274 (19.02%),6 (0.63%),9 (0.13%),3464 (51.72%),17 (1.78%),125 (13.1%),148 (15.51%),809 (12.08%),895 (13.36%),29 (3.04%),71 (7.44%),150 (2.24%),261 (3.9%),2 (0.21%),20 (2.1%),117 (1.75%),147 (2.2%),9 (0.94%),24 (2.52%),71 (1.06%),146 (2.18%),2 (0.21%),6 (0.63%),2 (0.03%),97 (1.45%),245 (25.68%),262 (27.46%),874 (13.05%)
m4,490 (720.59%),68,55 (80.88%),13 (19.12%),679 (100.0%),679,0 (0.0%),3 (0.44%),13 (1.91%),115 (16.94%),340 (50.07%),193 (28.42%),26 (38.24%),66 (9.72%),13 (19.12%),33 (4.86%),2.23,0 (0.0%),12 (17.65%),1 (0.15%),38 (5.6%),2 (2.94%),17 (25.0%),46 (6.77%),83 (12.22%),6 (8.82%),10 (14.71%),154 (22.68%),163 (24.01%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),29 (42.65%),141 (20.77%),1 (1.47%),26 (38.24%),199 (29.31%),20 (29.41%),2.76 (4.06%),10.0 (14.71%),1 (1.47%),44 (6.48%),11 (16.18%),134 (19.73%),41 (60.29%),154 (22.68%),0 (0.0%),0 (0.0%),216 (31.81%),0 (0.0%),5 (7.35%),5 (7.35%),147 (21.65%),147 (21.65%),5 (7.35%),20 (29.41%),30 (4.42%),112 (16.49%),0 (0.0%),12 (17.65%),0 (0.0%),76 (11.19%),1 (1.47%),7 (10.29%),7 (1.03%),21 (3.09%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),29 (42.65%),30 (44.12%),74 (10.9%)
mosaic,1046 (262.16%),399,348 (87.22%),51 (12.78%),1800 (101.12%),1780,20 (1.12%),0 (0.0%),18 (1.01%),71 (3.99%),1623 (91.18%),1174 (65.96%),269 (67.42%),888 (49.89%),229 (57.39%),517 (29.04%),1.29,0 (0.0%),27 (6.77%),21 (1.18%),119 (6.69%),20 (5.01%),32 (8.02%),61 (3.43%),160 (8.99%),20 (5.01%),26 (6.52%),441 (24.78%),473 (26.57%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.25%),0 (0.0%),10 (0.56%),295 (73.93%),1053 (59.16%),6 (1.5%),53 (13.28%),570 (32.02%),33 (8.27%),3.47 (0.87%),11.3 (2.83%),2 (0.5%),51 (2.87%),15 (3.76%),315 (17.7%),319 (79.95%),1078 (60.56%),1 (0.25%),2 (0.11%),245 (13.76%),0 (0.0%),19 (4.76%),20 (5.01%),439 (24.66%),449 (25.22%),9 (2.26%),33 (8.27%),117 (6.57%),139 (7.81%),2 (0.5%),4 (1.0%),2 (0.11%),13 (0.73%),1 (0.25%),4 (1.0%),2 (0.11%),19 (1.07%),0 (0.0%),1 (0.25%),0 (0.0%),10 (0.56%),292 (73.18%),313 (78.45%),1031 (57.92%)
perl,12086 (114.59%),10547,6282 (59.56%),4265 (40.44%),139109 (100.06%),139024,85 (0.06%),2748 (1.98%),7508 (5.4%),19935 (14.34%),36918 (26.56%),20460 (14.72%),1185 (11.24%),3572 (2.57%),289 (2.74%),1034 (0.74%),7.04,7 (0.07%),292 (2.77%),116 (0.08%),2690 (1.93%),730 (6.92%),1505 (14.27%),6730 (4.84%),9644 (6.94%),2650 (25.13%),3216 (30.49%),14655 (10.54%),17064 (12.27%),1 (0.01%),51 (0.48%),16 (0.01%),157 (0.11%),0 (0.0%),190 (1.8%),0 (0.0%),1372 (0.99%),2034 (19.29%),12205 (8.78%),112 (1.06%),4248 (40.28%),24713 (17.78%),1597 (15.14%),3.36 (0.03%),7.08 (0.07%),23 (0.22%),2206 (1.59%),468 (4.44%),4260 (3.06%),2953 (28.0%),16070 (11.56%),34 (0.32%),512 (0.37%),85785 (61.71%),229 (2.17%),2629 (24.93%),3057 (28.98%),14550 (10.47%),15862 (11.41%),558 (5.29%),1055 (10.0%),6358 (4.57%),7900 (5.68%),2 (0.02%),175 (1.66%),56 (0.04%),1312 (0.94%),56 (0.53%),142 (1.35%),178 (0.13%),638 (0.46%),0 (0.0%),190 (1.8%),19 (0.01%),1372 (0.99%),2243 (21.27%),2596 (24.61%),12903 (9.28%)
rcs,654 (244.03%),268,178 (66.42%),90 (33.58%),2243 (100.04%),2242,1 (0.04%),13 (0.58%),120 (5.35%),69 (3.08%),1140 (50.85%),562 (25.07%),43 (16.04%),157 (7.0%),18 (6.72%),47 (2.1%),4.17,4 (1.49%),30 (11.19%),23 (1.03%),140 (6.24%),11 (4.1%),42 (15.67%),62 (2.77%),187 (8.34%),45 (16.79%),77 (28.73%),490 (21.86%),603 (26.9%),0 (0.0%),7 (2.61%),0 (0.0%),8 (0.36%),3 (1.12%),16 (5.97%),24 (1.07%),110 (4.91%),75 (27.99%),344 (15.34%),17 (6.34%),103 (38.43%),796 (35.5%),55 (20.52%),3.81 (1.42%),8.29 (3.09%),2 (0.75%),17 (0.76%),34 (12.69%),305 (13.6%),94 (35.07%),482 (21.5%),0 (0.0%),0 (0.0%),1236 (55.13%),11 (4.1%),46 (17.16%),69 (25.75%),492 (21.94%),578 (25.78%),28 (10.45%),39 (14.55%),164 (7.31%),204 (9.1%),0 (0.0%),3 (1.12%),0 (0.0%),25 (1.12%),2 (0.75%),8 (2.99%),7 (0.31%),25 (1.12%),3 (1.12%),16 (5.97%),24 (1.07%),110 (4.91%),65 (24.25%),79 (29.48%),327 (14.59%)
remind,720 (196.19%),367,311 (84.74%),56 (15.26%),4501 (100.0%),4501,0 (0.0%),0 (0.0%),107 (2.38%),176 (3.91%),2589 (57.52%),1947 (43.26%),243 (66.21%),1301 (28.9%),155 (42.23%),522 (11.6%),1.59,1 (0.27%),17 (4.63%),39 (0.87%),294 (6.53%),1 (0.27%),16 (4.36%),11 (0.24%),389 (8.64%),30 (8.17%),46 (12.53%),698 (15.51%),960 (21.33%),0 (0.0%),1 (0.27%),0 (0.0%),4 (0.09%),2 (0.54%),3 (0.82%),13 (0.29%),14 (0.31%),246 (67.03%),1488 (33.06%),1 (0.27%),65 (17.71%),1101 (24.46%),33 (8.99%),5.39 (1.47%),19.45 (5.3%),1 (0.27%),80 (1.78%),15 (4.09%),282 (6.27%),274 (74.66%),1795 (39.88%),1 (0.27%),6 (0.13%),2055 (45.66%),3 (0.82%),24 (6.54%),28 (7.63%),641 (14.24%),642 (14.26%),9 (2.45%),23 (6.27%),170 (3.78%),440 (9.78%),0 (0.0%),5 (1.36%),0 (0.0%),242 (5.38%),7 (1.91%),14 (3.81%),71 (1.58%),204 (4.53%),2 (0.54%),3 (0.82%),13 (0.29%),14 (0.31%),252 (68.66%),259 (70.57%),1423 (31.62%)
xfig,2071 (158.21%),1309,1077 (82.28%),232 (17.72%),13688 (100.0%),13688,0 (0.0%),17 (0.12%),348 (2.54%),418 (3.05%),9773 (71.4%),7220 (52.75%),909 (69.44%),3448 (25.19%),586 (44.77%),1111 (8.12%),1.69,52 (3.97%),80 (6.11%),235 (1.72%),630 (4.6%),17 (1.3%),43 (3.28%),2669 (19.5%),3064 (22.38%),39 (2.98%),51 (3.9%),2589 (18.91%),2614 (19.1%),0 (0.0%),1 (0.08%),0 (0.0%),2 (0.01%),0 (0.0%),2 (0.15%),0 (0.0%),2 (0.01%),991 (75.71%),6732 (49.18%),13 (0.99%),86 (6.57%),3041 (22.22%),47 (3.59%),4.36 (0.33%),63.41 (4.84%),0 (0.0%),0 (0.0%),19 (1.45%),4846 (35.4%),1032 (78.84%),4739 (34.62%),1 (0.08%),53 (0.39%),3267 (23.87%),2 (0.15%),34 (2.6%),40 (3.06%),2551 (18.64%),2553 (18.65%),68 (5.19%),88 (6.72%),3147 (22.99%),3191 (23.31%),0 (0.0%),3 (0.23%),0 (0.0%),29 (0.21%),6 (0.46%),10 (0.76%),40 (0.29%),55 (0.4%),0 (0.0%),2 (0.15%),0 (0.0%),2 (0.01%),946 (72.27%),958 (73.19%),3989 (29.14%)
zsh,3309 (148.92%),2222,1257 (56.57%),965 (43.43%),23755 (100.06%),23741,14 (0.06%),52 (0.22%),372 (1.57%),2784 (11.73%),11949 (50.33%),7769 (32.72%),878 (39.51%),4990 (21.02%),426 (19.17%),2014 (8.48%),2.27,2 (0.09%),69 (3.11%),225 (0.95%),493 (2.08%),73 (3.29%),125 (5.63%),1366 (5.75%),1701 (7.16%),138 (6.21%),177 (7.97%),4031 (16.98%),4369 (18.4%),0 (0.0%),10 (0.45%),3 (0.01%),35 (0.15%),0 (0.0%),5 (0.23%),0 (0.0%),215 (0.91%),965 (43.43%),6810 (28.68%),12 (0.54%),292 (13.14%),5139 (21.65%),154 (6.93%),6.27 (0.28%),20.21 (0.91%),2 (0.09%),45 (0.19%),28 (1.26%),162 (0.68%),1095 (49.28%),7644 (32.2%),1 (0.05%),5 (0.02%),12677 (53.4%),10 (0.45%),126 (5.67%),141 (6.35%),3961 (16.68%),4176 (17.59%),82 (3.69%),144 (6.48%),1892 (7.97%),2015 (8.49%),0 (0.0%),6 (0.27%),0 (0.0%),77 (0.32%),19 (0.86%),34 (1.53%),101 (0.43%),160 (0.67%),0 (0.0%),5 (0.23%),0 (0.0%),215 (0.91%),954 (42.93%),1008 (45.36%),5657 (23.83%)
total,102252 (118.62%),86199,51715 (59.99%),34484 (40.01%),881348 (100.48%),877116,4232 (0.48%),16222 (1.85%),35014 (3.99%),139374 (15.89%),283921 (32.37%),164667 (18.77%),27284 (31.65%),82856 (9.45%),16035 (18.6%),39327 (4.48%),2.01,241 (0.28%),1790 (2.08%),2179 (0.25%),10528 (1.2%),4027 (4.67%),7109 (8.25%),31977 (3.65%),42663 (4.86%),11199 (12.99%),14048 (16.3%),87206 (9.94%),120774 (13.77%),9 (0.01%),167 (0.19%),77 (0.01%),567 (0.06%),21 (0.02%),1605 (1.86%),409 (0.05%),31065 (3.54%),32209 (37.37%),123483 (14.08%),657 (0.76%),19506 (22.63%),160438 (18.29%),8277 (9.6%),80.76 (0.09%),329.84 (0.38%),204 (0.24%),4615 (0.53%),2149 (2.49%),28153 (3.21%),37390 (43.38%),152344 (17.37%),133 (0.15%),2170 (0.25%),499224 (56.92%),692 (0.8%),10943 (12.7%),13178 (15.29%),85127 (9.71%),114997 (13.11%),1816 (2.11%),4341 (5.04%),21900 (2.5%),32235 (3.68%),91 (0.11%),1506 (1.75%),453 (0.05%),9163 (1.04%),406 (0.47%),820 (0.95%),2031 (0.23%),4090 (0.47%),20 (0.02%),1605 (1.86%),488 (0.06%),31065 (3.54%),34004 (39.45%),35171 (40.8%),133711 (15.24%)
